"","Community_Area","Area_Number","Green_Index","Green_Quantile","Gray_Index","Gray_Quantile","Blue_Index","Blue_Quantile"
"1","DOUGLAS",35,0,"Q1",98.6489339244248,"Q3",1.35106607557526,"Q3"
"2","OAKLAND",36,0,"Q1",99.5209580838323,"Q5",0.479041916167665,"Q2"
"3","FULLER PARK",37,0,"Q1",97.5669099756691,"Q2",2.4330900243309,"Q4"
"4","GRAND BOULEVARD",38,0,"Q1",98.6222044728435,"Q3",1.37779552715655,"Q3"
"5","KENWOOD",39,0,"Q1",97.9284998329436,"Q2",2.07150016705646,"Q4"
"6","LINCOLN SQUARE",4,0.040749796251019,"Q4",97.0795979353437,"Q2",2.87965226840532,"Q5"
"7","WASHINGTON PARK",40,0.823421774931381,"Q5",96.5462031107045,"Q2",2.63037511436414,"Q4"
"8","HYDE PARK",41,0.687728347302815,"Q4",95.5297657425318,"Q1",3.78250591016548,"Q5"
"9","WOODLAWN",42,1.59529806884971,"Q5",94.5088161209068,"Q1",3.89588581024349,"Q5"
"10","ROGERS PARK",1,0.783040488922843,"Q5",96.2375859434683,"Q1",2.97937356760886,"Q5"
"11","JEFFERSON PARK",11,2.8396353310417,"Q5",96.9062920340756,"Q2",0.254072634882678,"Q1"
"12","FOREST GLEN",12,13.7748344370861,"Q5",85.7505518763797,"Q1",0.474613686534216,"Q2"
"13","NORTH PARK",13,7.25438717700705,"Q5",91.6263645156833,"Q1",1.11924830730966,"Q3"
"14","ALBANY PARK",14,0.090415913200723,"Q4",98.2278481012658,"Q3",1.68173598553345,"Q4"
"15","PORTAGE PARK",15,0,"Q1",99.5250659630607,"Q5",0.474934036939314,"Q2"
"16","IRVING PARK",16,0.313547410530868,"Q4",98.7133744188561,"Q4",0.973078170613039,"Q2"
"17","DUNNING",17,0,"Q1",99.9058469070709,"Q5",0.094153092929103,"Q1"
"18","MONTCLARE",18,0,"Q1",99.6119929453263,"Q5",0.388007054673721,"Q1"
"19","BELMONT CRAGIN",19,0,"Q1",99.4850852272727,"Q4",0.514914772727273,"Q2"
"20","WEST RIDGE",2,0,"Q1",98.497875284119,"Q3",1.50212471588102,"Q3"
"21","HERMOSA",20,0,"Q1",98.8413547237077,"Q4",1.15864527629234,"Q3"
"22","AVONDALE",21,0,"Q1",98.7383914490976,"Q4",1.2616085509024,"Q3"
"23","LOGAN SQUARE",22,0,"Q1",98.3635131209451,"Q3",1.6364868790549,"Q4"
"24","HUMBOLDT PARK",23,0,"Q1",98.3800983511715,"Q3",1.61990164882846,"Q3"
"25","WEST TOWN",24,0,"Q1",98.8910830928148,"Q4",1.10891690718517,"Q2"
"26","AUSTIN",25,0,"Q1",98.9763088622404,"Q4",1.02369113775958,"Q2"
"27","WEST GARFIELD PARK",26,0,"Q1",98.040794417606,"Q2",1.95920558239399,"Q4"
"28","EAST GARFIELD PARK",27,0.143859018162201,"Q4",98.1837798957022,"Q3",1.67236108613559,"Q4"
"29","NEAR WEST SIDE",28,0,"Q1",98.0618733186598,"Q2",1.93812668134018,"Q4"
"30","NORTH LAWNDALE",29,0,"Q1",98.9658175484433,"Q4",1.03418245155672,"Q2"
"31","UPTOWN",3,0.91853636500527,"Q5",96.3860864327662,"Q2",2.69537720222858,"Q4"
"32","SOUTH LAWNDALE",30,0.052998182919443,"Q4",96.6384009691096,"Q2",3.30860084797093,"Q5"
"33","LOWER WEST SIDE",31,0.166270783847981,"Q4",96.2351543942993,"Q1",3.59857482185273,"Q5"
"34","NEAR SOUTH SIDE",33,0.280617358188014,"Q4",97.6748847464422,"Q2",2.04449789536981,"Q4"
"35","ARMOUR SQUARE",34,0,"Q1",95.7736639888229,"Q1",4.22633601117709,"Q5"
"36","NORWOOD PARK",10,1.66600239139099,"Q5",98.158628935831,"Q3",0.175368672777999,"Q1"
"37","NEAR NORTH SIDE",8,0.012737230925997,"Q4",94.1281365431155,"Q1",5.85912622595848,"Q5"
"38","LOOP",32,0.268036631672995,"Q4",89.1668528032164,"Q1",10.5651105651106,"Q5"
"39","SOUTH SHORE",43,0.30970815961882,"Q4",96.5693865396069,"Q2",3.12090530077427,"Q5"
"40","CHATHAM",44,0,"Q1",98.5295847547347,"Q3",1.47041524526526,"Q3"
"41","AVALON PARK",45,0,"Q1",99.805393383375,"Q5",0.194606616624965,"Q1"
"42","SOUTH CHICAGO",46,0.114559466777755,"Q4",98.1566340345762,"Q2",1.72880649864612,"Q4"
"43","BURNSIDE",47,0,"Q1",98.7478656801366,"Q4",1.2521343198634,"Q3"
"44","CALUMET HEIGHTS",48,0,"Q1",99.7222773259274,"Q5",0.277722674072605,"Q1"
"45","ROSELAND",49,0,"Q1",99.7546366457386,"Q5",0.245363354261384,"Q1"
"46","NORTH CENTER",5,0,"Q1",96.673455532926,"Q2",3.326544467074,"Q5"
"47","PULLMAN",50,0,"Q1",99.2442911122063,"Q4",0.755708887793659,"Q2"
"48","SOUTH DEERING",51,3.14782331366608,"Q5",74.4474565460054,"Q1",22.4047201403285,"Q5"
"49","EAST SIDE",52,1.04724503153636,"Q5",96.8463643936689,"Q2",2.10639057479472,"Q4"
"50","WEST PULLMAN",53,0,"Q1",98.7099296325254,"Q3",1.29007036747459,"Q3"
"51","RIVERDALE",54,6.94664031620553,"Q5",83.9920948616601,"Q1",9.06126482213439,"Q5"
"52","HEGEWISCH",55,10.7225797889988,"Q5",69.1924888859399,"Q1",20.0849313250614,"Q5"
"53","GARFIELD RIDGE",56,0,"Q1",99.703654922621,"Q5",0.296345077378992,"Q1"
"54","ARCHER HEIGHTS",57,0,"Q1",98.6317977138898,"Q3",1.36820228611015,"Q3"
"55","BRIGHTON PARK",58,0,"Q1",98.7230238794535,"Q4",1.27697612054655,"Q3"
"56","MCKINLEY PARK",59,0,"Q1",98.3546168958743,"Q3",1.64538310412574,"Q4"
"57","LAKE VIEW",6,0.812194036493102,"Q5",95.838896306186,"Q1",3.34890965732087,"Q5"
"58","BRIDGEPORT",60,0,"Q1",98.6203457446808,"Q3",1.37965425531915,"Q3"
"59","NEW CITY",61,0,"Q1",99.0792691699036,"Q4",0.920730830096389,"Q2"
"60","WEST ELSDON",62,0,"Q1",99.8815867377146,"Q5",0.118413262285376,"Q1"
"61","GAGE PARK",63,0,"Q1",99.7155499367889,"Q5",0.284450063211125,"Q1"
"62","CLEARING",64,0,"Q1",99.6171725458026,"Q5",0.38282745419743,"Q1"
"63","WEST LAWN",65,0,"Q1",99.1989633643539,"Q4",0.80103663564613,"Q2"
"64","CHICAGO LAWN",66,0.137971814329358,"Q4",98.1768010249335,"Q3",1.68522716073716,"Q4"
"65","WEST ENGLEWOOD",67,0,"Q1",99.5921966273559,"Q5",0.407803372644109,"Q2"
"66","ENGLEWOOD",68,0,"Q1",99.2194570135747,"Q4",0.780542986425339,"Q2"
"67","GREATER GRAND CROSSING",69,0.088166144200627,"Q4",98.3444357366771,"Q3",1.56739811912226,"Q3"
"68","LINCOLN PARK",7,0.86946951353731,"Q5",95.9718247853841,"Q1",3.15870570107858,"Q5"
"69","ASHBURN",70,0,"Q1",99.6897546897547,"Q5",0.31024531024531,"Q1"
"70","AUBURN GRESHAM",71,0.009223390518355,"Q3",99.2805755395683,"Q4",0.7102010699133,"Q2"
"71","BEVERLY",72,3.66750850993741,"Q5",96.2117052816515,"Q1",0.120786208411112,"Q1"
"72","WASHINGTON HEIGHTS",73,0,"Q1",99.781208216847,"Q5",0.218791783153033,"Q1"
"73","MOUNT GREENWOOD",74,0,"Q1",99.3278179937952,"Q4",0.672182006204757,"Q2"
"74","MORGAN PARK",75,0,"Q1",99.7247803535514,"Q5",0.275219646448608,"Q1"
"75","OHARE",76,12.6741644059314,"Q5",85.9878315379145,"Q1",1.33800405615403,"Q3"
"76","EDGEWATER",77,0.040477636106051,"Q4",97.4296701072657,"Q2",2.52985225662821,"Q4"
"77","EDISON PARK",9,0,"Q1",99.8138957816377,"Q5",0.186104218362283,"Q1"
