V1,AQS_SIT,AQS_PAR,CBSA_CO,CBSA_NA,STATE_C,STATE,COUNTY_,COUNTY,SITE_LA,SITE_LO,UNITS,14_DMPC,18_DMPC,2015MPC,2016MPC,2017MPC
1,170310001,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.670991899999997,     -87.732456900000003,ug/m3 LC,       9.760000000000000,       8.873636363999999,      11.108750000000001,       8.489583333000001,       8.772083332999999
2,170310022,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.687165440000001,     -87.539315479999999,ug/m3 LC,      11.470340309999999,       9.008447361000000,      10.883781570000000,       8.396497715000001,       8.448994108000001
3,170310052,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.965484830000001,     -87.749928060000002,ug/m3 LC,      11.878258779999999,       9.224261364000000,       9.975606061000001,       8.634452862000000,       8.724650672999999
4,170310057,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.912739000000002,     -87.722673000000000,ug/m3 LC,      10.551666669999999,       9.335151515000000,      12.670555560000000,       9.202361111000000,       8.815277778000000
5,170310076,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.751399980000002,     -87.713488150000003,ug/m3 LC,       9.612222222000000,       8.817878788000000,      11.006111110000001,       9.116250000000001,       8.321666667000001
6,170311016,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.801180000000002,     -87.832348999999994,ug/m3 LC,      12.351439389999999,       9.650555556000000,      11.552443179999999,       9.875692641000001,       9.572128591000000
7,170313103,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.965193480000003,     -87.876264730000003,ug/m3 LC,      11.555555560000000,      10.731071760000001,      11.790812290000000,       9.413653199000001,      10.328790890000001
8,170313301,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.782766010000003,     -87.805376789999997,ug/m3 LC,      10.792006369999999,       9.735541125999999,      10.984431819999999,       9.125286194999999,       8.695292508000000
9,170314007,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      42.060284690000003,     -87.863225430000000,ug/m3 LC,       9.727626262999999,      11.224760410000000,       9.861416245999999,       8.803267196000000,       9.373423764000000
10,170314201,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      42.139996189999998,     -87.799226919999995,ug/m3 LC,      10.110488220000001,       8.624380628000001,       9.142815356000000,       7.766995366000000,       7.989129089000000
11,170316005,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.864426420000001,     -87.748902380000004,ug/m3 LC,      10.063333330000001,       9.786818181999999,      12.494583329999999,       8.946388889000000,       8.597500000000000
12,170434002,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,43,DuPage,      41.771070940000001,     -88.152533649999995,ug/m3 LC,       9.536919191999999,      10.553602390000000,       9.016127945999999,       7.709454966000000,       8.096433060000001
13,170890003,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,89,Kane,      42.050403000000003,     -88.280014710000003,ug/m3 LC,      10.903148150000000,       8.233080808000000,       8.829811508000001,       7.900938552000000,       7.924135101000000
14,170890007,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,89,Kane,      41.784716510000003,     -88.329373610000005,ug/m3 LC,      10.283888890000000,       8.602976354000001,       8.940214645999999,       8.039892676999999,       8.077716751000001
15,171110001,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,111,McHenry,      42.221441660000004,     -88.242207339999993,ug/m3 LC,      10.095555559999999,       8.245303030000001,       9.746666667000000,       6.980151515000000,       7.177777778000000
16,171971002,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,197,Will,      41.526885090000000,     -88.116473810000002,ug/m3 LC,      10.136481480000000,       9.881207932000001,       6.752507215000000,       7.994751684000000,       8.850512867000001
17,171971011,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,197,Will,      41.221537069999997,     -88.190967180000001,ug/m3 LC,       8.414166667000000,       8.451168364000001,       8.444166666999999,       7.485999761000000,       7.793752240000000
18,180890006,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,89,Lake,      41.636127139999999,     -87.440843180000002,ug/m3 LC,      10.866575440000000,       9.209256198000000,      10.598602690000000,       8.627382154999999,       8.725707071000000
19,180890022,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,89,Lake,      41.606667000000002,     -87.304721999999998,ug/m3 LC,      14.314167550000001,       9.183161229000000,      10.874869820000001,       9.443651674000000,       8.569980707999999
20,180890026,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,89,Lake,      41.573238779999997,     -87.405905290000007,ug/m3 LC,      12.454629629999999,      10.364090910000000,      10.928257580000000,       9.323518519000000,       9.172777778000000
21,180890031,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,89,Lake,      41.598505000000003,     -87.342990999999998,ug/m3 LC,      11.810189390000000,      10.514752070000000,      10.027325340000001,       8.690886995000000,       8.900164140999999
23,180892004,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",18,Indiana,89,Lake,      41.585496440000000,     -87.474486130000003,ug/m3 LC,      11.561866600000000,       8.783333333000000,       9.918703704000000,       8.123779461000000,       8.206447811000000
24,550590019,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",55,Wisconsin,59,Kenosha,      42.504722000000001,     -87.809299999999993,ug/m3 LC,       8.747493687000000,       7.265053567000000,       8.193501683999999,       7.253728956000000,       6.632469634000000
25,551330027,PM2.5 - Local Conditions,33340,"Milwaukee-Waukesha-West Allis, WI",55,Wisconsin,133,Waukesha,      43.020075380000002,     -88.215069959999994,ug/m3 LC,      10.302192160000001,       9.098052473999999,       9.100252525000000,       8.043409090999999,       7.710302056000000
